country_code,date_year,life_expectancy,infant_mortality,death_rate,fertility_rate,population_total,health_expenditure_pct_gdp,hospital_beds_per_1000,gdp_usd,gdp_per_capita_usd,gdp_growth_percent,gnp_per_capita_usd,inflation_percent,unemployment_percent,literacy_rate,education_expenditure_pct_gdp,population_growth_percent,poverty_headcount_1_90,income_share_top_20,climate_disaster_impact_percent
CAN,2006,80.5436585365854,5.2,7.0,1.63,32571193,9.32523441,3.02,1319264809590.97,40504.0370977806,2.63794375007348,37900,2.00202539534161,6.484,,,1.01355939144957,0.2,22.8,
CAN,2007,80.5436585365854,5.1,7.2,1.67,32888886,9.42872047,2.97,1468820407783.26,44660.0838892281,2.04990463726786,41540,2.13838399266837,6.156,,4.7664098739624,0.970654173316653,0.2,22.7,
CAN,2008,80.7246341463415,5.1,7.2,1.7,33247298,9.58826923,2.85,1552989690721.65,46710.2526864484,0.995406301140747,44930,2.37027067444299,6.284,,4.62612009048462,1.083871149194,0.2,22.8,
CAN,2009,81.0660975609756,5.0,7.1,1.69,33630069,10.69968033,2.81,1374625142157.29,40874.8831932903,-2.91508621550267,43230,0.299466803009299,8.46,,4.84057998657227,1.14470768476526,0.2,22.9,0.0107432376669766
CAN,2010,81.3221951219512,5.0,7.1,1.65,34005902,10.70405102,2.79,1617343367486.26,47560.6666009406,3.09080634469335,44490,1.77687154092627,8.178,,5.356369972229,1.11135202971694,0.2,22.8,
CAN,2011,81.4826829268293,4.9,7.1,1.63,34339221,10.40832329,2.8,1793326630174.52,52223.8588398531,3.13719442170364,47190,2.91213508872351,7.637,,5.26205015182495,0.97540725097113,0.2,22.9,
CAN,2012,81.6636585365854,4.8,7.1,1.63,34713395,10.54460621,2.79,1828366481521.6,52670.3447335415,1.75566129145483,51080,1.51567823124517,7.392,,,1.08374652233653,0.2,23.2,
CAN,2013,81.7448780487805,4.8,7.2,1.61,35080992,10.43964291,2.72,1846597421834.98,52638.1187235237,2.32581354806429,52800,0.938291897815317,7.143,,4.5890097618103,1.05338098055318,0.5,23.4,
CAN,2014,81.7843902439025,4.7,7.3,1.61,35434066,10.28526115,2.68,1805749878439.94,50960.8431174661,2.87346677785811,52200,1.90663590717861,7.023,,4.84358978271484,1.00142284689661,0.2,23.0,
CAN,2015,81.8258536585366,4.7,7.4,1.6,35704498,10.76850224,2.62,1556508816217.14,43594.1941045394,0.649971001734855,47580,1.12524136094277,6.945,,4.7393798828125,0.760300145238936,0.5,23.0,
CAN,2016,81.94,4.6,7.4,1.59,36110803,11.06097317,2.6,1527994741907.43,42314.0615817218,1.03855092490855,43900,1.42875954701085,7.038,,4.81642007827759,1.13153974027004,0.5,23.0,
CAN,2017,81.8129268292683,4.6,7.6,1.55,36545075,10.93421078,2.53,1649265644244.09,45129.628116623,3.03383491200222,42900,1.59688412852977,6.426,,4.95996999740601,1.19543575451553,0.5,23.0,
CAN,2018,81.8087804878049,4.5,7.7,1.51,37072620,10.94313335,2.56,1725329192783.02,46539.1761570405,2.74296344906655,45060,2.26822567248103,5.837,,4.8889799118042,1.43322615679352,0.2,23.0,
CAN,2019,82.1636585365854,4.5,7.6,1.47,37618495,11.05897045,2.53,1743725183672.52,46352.8693445211,1.90843194590616,46580,1.94926902411593,5.69,,4.77293014526367,1.46171259938134,0.2,23.1,
CAN,2020,81.5351219512195,4.5,8.1,1.41,38028638,13.02419472,2.56,1655684730000.19,43537.839298904,-5.03823343468899,43900,0.716999632307827,9.657,,4.88794994354248,1.08436897113225,0.2,22.7,
CAN,2021,81.5168292682927,4.5,8.2,1.44,38239864,12.41920948,,2022378748423.23,52886.6616372703,5.95052802804381,49080,3.39519318527528,7.527,,4.74860000610352,0.553902422386893,0.2,22.6,
CAN,2022,81.2453658536585,4.5,8.6,1.33,38935934,11.23432541,,2190411080134.32,56256.8007264015,4.18903628100851,53850,6.80280115341613,5.279,,4.88021993637085,1.80390457488184,,,
CAN,2023,81.6465853658537,4.4,8.1,1.26,40083484,11.22370815,,2173339670064.33,54220.3285039875,1.52874550838358,54660,3.87900159788426,5.415,,,2.90468017061162,,,
CAN,2024,,,,,41288599,,,2243636826633.76,54340.3477224733,1.55479521049516,53400,2.38158383281173,6.45,,,2.96220294420494,,,
MEX,1975,61.883,70.0,8.182,5.739,58982400,,,88000000000.0,1491.97048611111,5.74448504862428,1480,14.9445346409267,,,,2.85868919208384,,,
MEX,1976,62.475,67.7,7.859,5.543,60645512,,,88875923765.072,1465.49877862474,4.41744413626853,1550,15.824722489347,,,,2.78065399816892,,,
MEX,1977,62.988,65.3,7.584,5.361,62308493,,,81912018783.5024,1314.62044481645,3.39063970656844,1490,29.0641247103461,,,,2.70521064388125,,,
MEX,1978,63.435,63.0,7.351,5.202,63979046,,,102648570299.117,1604.40920452482,8.95694232786306,1600,17.4572925678265,,,,2.64578827608807,,,
MEX,1979,63.862,60.6,7.116,4.964,65648865,,,134531900898.926,2049.26468871816,9.69817013704461,1910,18.1912462987643,,,,2.57646884468688,,,
MEX,1980,64.282,58.2,6.896,4.739,67300334,,0.699999988079071,205577055465.993,3054.62162291784,8.75662242586424,2580,26.3516513562834,,82.9899978637695,,2.48448875438519,,,
MEX,1981,64.722,55.8,6.701,4.574,68892108,,,263797827860.494,3829.14437544129,9.58584115454994,3310,27.9337625982399,,,,2.3376429152144,,,
MEX,1982,65.256,53.5,6.571,4.425,70433260,,,184602611609.517,2620.95793392947,-0.0495863656386035,3040,58.9134198531048,,,,2.21239661362638,,,
MEX,1983,65.756,51.3,6.472,4.296,71971240,,,156167000432.994,2169.85285279223,-4.62412795987231,2410,101.874938435992,,,,2.16009999927553,,,
MEX,1984,66.215,49.1,6.402,4.184,73506846,,,184230754105.394,2506.30742754755,3.51341334932273,2220,65.4488071277602,,,,2.11119499659794,15.0,20.5,
MEX,1985,66.775,47.1,6.314,4.087,75043414,,,195241069482.077,2601.70825226684,1.91921578613494,2300,57.7484484008702,,,,2.06882546602699,,,
MEX,1986,67.377,45.1,6.22,3.971,76585637,,,134556034672.991,1756.93563367491,-3.92995990782299,2090,86.2333169923538,,,,2.03427532389064,,,
MEX,1987,67.904,43.2,6.148,3.803,78136651,,,147542558208.888,1888.2631431041,2.06336322631584,2070,131.82738392309,,,,2.00496770997912,,,
MEX,1988,68.299,41.4,6.128,3.64,79695531,,,181611150496.787,2278.81222720992,1.21826122938586,2120,114.162258549066,,,,1.97542817137593,,,
MEX,1989,68.621,39.6,6.155,3.532,81247182,,,221403098266.77,2725.05572275442,3.62544873456009,2400,20.0078767139978,,,2.28201007843018,1.92826260803177,14.8,19.4,
MEX,1990,69.034,37.8,6.159,3.444,82820170,,1.0,261253675692.838,3154.46920349038,5.25004329944582,2820,26.6516725646771,,87.5599975585938,2.32498002052307,1.91754932281513,,,
MEX,1991,69.368,36.1,6.064,3.363,84430572,,1.1000000238,313139656145.745,3708.8420548157,3.97590497138043,3280,22.662359455061,3.145,,2.54800009727478,1.92579327419213,,,
MEX,1992,69.663,34.5,5.961,3.285,86044809,,1.2000000477,363157832923.734,4220.56643677057,3.56861354412243,3810,15.5078962533573,3.235,,3.00501990318298,1.89386319441602,13.3,19.0,
MEX,1993,69.961,32.9,5.874,3.211,87653807,,1.2000000477,530160763662.543,6048.34840388099,2.86699945461075,4640,9.75146045357553,3.365,,,1.8526849091274,,,
MEX,1994,70.302,31.4,5.788,3.132,89259205,,1.2000000477,553618247900.74,6202.36588372862,4.39412788764169,5540,6.96581237191123,4.436,,3.47707009315491,1.81495080594105,13.6,18.9,
MEX,1995,70.703,30.0,5.695,3.044,90862455,,1.2000000477,380157469866.849,4183.87847727479,-5.91029962358286,5110,34.9992712889592,7.095,,3.49746990203857,1.78023269604442,,,
MEX,1996,71.088,28.6,5.622,2.964,92452702,,1.2000000477,432157945024.428,4674.36792733681,6.21829715869302,4900,34.3783832235168,5.465,,,1.73503044582092,21.7,19.5,
MEX,1997,71.472,27.3,5.561,2.886,94021207,,1.1000000238,523449530464.257,5567.35599516667,7.19887615284711,4930,20.6256287259247,4.235,,,1.68231791926668,,,
MEX,1998,71.792,26.1,5.534,2.815,95575245,,1.1000000238,557461102630.658,5832.69342004468,6.18507893082885,5340,15.9283950119353,3.733,,3.17838001251221,1.63934798033611,21.9,19.6,
MEX,1999,72.203,24.9,5.493,2.763,97115707,,1.1000000238,631249359702.389,6499.97182950425,2.75503039300564,5850,16.5856169707538,2.598,,3.36164999008179,1.5989280275378,,,
MEX,2000,72.562,23.7,5.481,2.714,98625552,4.24436522,1.06,742061329749.127,7524.0271380091,5.02928399378261,6570,9.49156149435403,2.646,90.5400009155273,3.80870008468628,1.54272528221216,16.3,19.1,
MEX,2001,72.912,22.7,5.433,2.671,100099099,4.58201361,1.09,796064590549.136,7952.76479510706,-0.450845253215945,7100,6.36773806235037,2.627,,4.0313401222229,1.48303091731143,,,
MEX,2002,73.106,21.7,5.45,2.633,101548624,4.83042812,1.1,810666116401.915,7983.03398381759,-0.236588001922641,7490,5.03072733151295,3.003,90.2699966430664,4.24307012557983,1.43770526775457,12.8,19.6,
MEX,2003,73.308,20.8,5.469,2.579,102978515,5.53978777,1.06,765549967703.273,7434.0746485155,1.18554486709559,7780,4.54690012118718,3.455,,4.83262014389038,1.398263627903,,,
MEX,2004,73.432,20.0,5.517,2.536,104394131,5.6835022,1.07,819459227375.022,7849.66759649565,3.56544100946846,8240,4.68840884843143,3.937,90.9499969482422,4.51204013824463,1.3653083154997,11.0,19.6,
MEX,2005,73.627,19.2,5.537,2.495,105811504,5.58110142,1.05,917571853529.104,8671.75891885163,2.11324712586392,8490,3.98805714597437,3.558,91.629997253418,4.63395023345947,1.34857895792648,11.7,19.7,
MEX,2006,73.746,18.5,5.575,2.456,107253666,5.40647888,1.03,1020265057882.01,9512.63575346699,4.80501352746852,9140,3.62946762439132,3.566,91.7300033569336,4.4931697845459,1.35374920696209,9.0,19.5,
MEX,2007,73.796,17.9,5.62,2.421,108774360,5.50668049,1.06,1102355554971.95,10134.3327138119,2.07786393438754,9720,3.96684905458235,3.628,92.8000030517578,4.47921991348267,1.40789058424163,,,
MEX,2008,73.695,17.3,5.682,2.391,110374288,5.44587374,1.04,1161553459715.1,10523.7685403244,0.943331863036903,10260,5.12498274575896,3.874,92.9300003051758,4.60609006881714,1.46015632826518,10.1,19.9,
MEX,2009,73.628,16.8,5.735,2.364,111999721,5.84786463,1.03,943437415024.633,8423.56933214711,-6.29525055780502,9230,5.29735584228856,5.356,93.4400024414062,4.94933986663818,1.4619172053372,,,0.149843277332355
MEX,2010,73.718,16.2,5.733,2.34,113623895,5.4897337,1.06,1105424238731.09,9728.80078377082,4.9713345832195,9470,4.15672722680174,5.303,93.0699996948242,4.93695020675659,1.43974472572946,8.4,20.4,
MEX,2011,73.921,15.7,5.698,2.317,115243504,5.30093002,1.04,1229013703416.76,10664.4944032313,3.44404505794418,9760,3.40737824605742,5.175,93.5199966430664,4.90405988693237,1.41534883852036,,,
MEX,2012,74.128,15.2,5.674,2.294,116818208,5.42140484,1.03,1255110424817.79,10744.1335242686,3.55321075993527,10500,4.11150981070289,4.892,94.2300033569336,4.88348007202148,1.35716327923769,7.3,19.5,
MEX,2013,74.289,14.8,5.677,2.269,118343573,5.5773263,1.03,1327436290282.67,11216.8008505428,0.852101559410627,10710,3.80639069747204,4.921,93.9599990844727,4.50858020782471,1.29730808025224,,,
MEX,2014,74.404,14.3,5.705,2.211,119784261,5.35336781,1.02,1364507717614.13,11391.3773497683,2.50376350288664,10950,4.01861608078679,4.819,94.5599975585938,5.06808996200562,1.21002702971431,7.2,19.3,
MEX,2015,74.431,13.9,5.768,2.137,121072306,5.52738619,1.0,1213294467716.88,10021.2386118827,2.70232342550646,10580,2.72064064964023,4.311,94.4700012207031,5.05087995529175,1.06956376155677,,,
MEX,2016,74.376,13.5,5.868,2.086,122251351,5.38499022,1.0,1112233497452.7,9097.92397674769,1.77249323845399,9740,2.8217078474766,3.853,94.8600006103516,4.75795984268188,0.969124204799117,4.4,19.9,
MEX,2017,74.261,13.0,5.997,2.041,123400057,5.3117938,0.99,1190721475906.0,9649.27816772402,1.87172853327193,9270,6.04145724018986,3.419,94.9700012207031,4.39752006530762,0.935239396499786,,,
MEX,2018,74.301,12.6,6.071,2.03,124573711,5.23821402,0.98,1256300182879.73,10084.7937562021,1.97208209405635,9560,4.89935015356551,3.275,95.379997253418,4.13945007324219,0.9466023549862,3.9,20.0,
MEX,2019,74.53,12.2,6.083,2.02,125762982,5.29685831,0.97,1304106203902.45,10369.5553585271,-0.392690505066824,9860,3.63596142127046,3.477,95.3889403219417,,0.950144329831411,,,
MEX,2020,70.449,11.8,8.429,1.99,126799054,6.0537405,1.0,1121064767308.42,8841.27075039868,-8.35403458167995,8920,3.39683415570006,4.44,95.25,4.49967002868652,0.820454117563552,4.3,20.6,
MEX,2021,69.75,11.5,9.015,1.97,127648148,5.89244318,1.02,1316569466685.95,10314.0506722115,6.0484834621255,9880,5.68920847683753,4.019,95.6890981310362,4.23823022842407,0.66740537533078,,,
MEX,2022,73.973,11.1,6.521,1.94,128613117,5.72145176,,1466934724293.06,11405.7940473759,3.70975709163623,10730,7.8962761916855,3.256,95.8486603965766,4.0658597946167,0.753116988604166,2.3,20.7,
MEX,2023,75.069,10.8,6.161,1.91,129739759,,,1798317581486.88,13860.9597809326,3.35354140652768,12020,5.52796087314389,2.765,95.8346901734281,,0.872178517508623,,,
MEX,2024,,,,,130861007,,,1856365616165.94,14185.7812248529,1.42742769080466,12850,4.72225588452932,2.711,95.7654716766416,,0.860515443690537,,,
USA,1975,72.6048780487805,15.9,8.8,1.774,215973000,,6.80000019073486,1684904000000.0,7801.45666356443,-0.205619191121627,8510,9.14314686496535,,,,0.985986067347125,0.7,23.5,
USA,1976,72.8560975609756,15.2,8.8,1.738,218035000,,6.59999990463257,1873412000000.0,8592.25353727612,5.38803391770217,8960,5.74481263549085,,,,0.950220048994522,0.7,23.5,
USA,1977,73.2560975609756,14.4,8.6,1.79,220239000,,6.40000009536743,2081826000000.0,9452.57651914511,4.62418650601657,9590,6.5016839947284,,,,1.00577199618134,0.5,23.4,
USA,1978,73.3560975609756,13.8,8.7,1.76,222585000,,6.19999980926514,2351599000000.0,10564.9482220275,5.53520648243719,10760,7.63096383885606,,,,1.0595730803427,0.7,23.6,
